timestamp,voltage,current_amps,frequency,power_factor
0,220.99,3.57,50.03,0.97
20,219.28,3.48,50.05,0.96
40,220.13,3.50,50.00,0.97
60,219.39,3.49,49.91,0.97
80,219.17,3.50,49.93,0.96
100,220.78,3.46,49.99,0.97
120,219.54,3.61,50.10,0.97
140,220.77,3.37,50.06,0.97
160,220.49,3.61,49.96,0.97
180,219.33,3.35,49.95,0.96
200,220.69,3.38,50.08,0.98
220,219.99,3.33,50.08,0.96
240,220.04,3.66,50.02,0.98
260,220.16,3.45,49.96,0.96
280,219.13,3.70,49.96,0.97
300,219.01,3.48,50.02,0.97
320,220.06,3.31,49.94,0.97
340,220.79,3.49,50.04,0.96
360,219.17,3.67,50.05,0.97
380,219.91,3.66,50.08,0.97
400,220.27,3.58,50.02,0.98
420,219.21,3.56,49.97,0.96
440,220.22,3.61,49.95,0.96
460,219.41,3.33,49.91,0.98
480,220.12,3.55,50.09,0.97
500,220.71,3.70,49.98,0.97
520,219.72,3.57,49.98,0.96
540,220.22,3.58,49.94,0.96
560,219.28,3.33,49.96,0.97
580,220.03,3.67,49.99,0.96
600,220.51,3.34,50.06,0.96
620,220.52,3.39,49.92,0.96
640,220.68,3.49,50.01,0.98
660,219.46,3.70,50.01,0.98
680,219.77,3.59,50.10,0.98
700,219.51,3.64,49.90,0.98
720,219.11,3.63,50.03,0.98
740,220.38,3.48,49.91,0.96
760,219.87,3.69,50.01,0.98
780,220.21,3.54,50.09,0.98
800,220.12,3.34,49.96,0.97
820,219.82,3.34,50.04,0.98
840,220.36,3.36,49.99,0.97
860,220.54,3.38,49.96,0.97
880,219.42,3.58,49.96,0.97
900,220.16,3.50,50.03,0.98
920,220.22,3.51,50.09,0.98
940,220.01,3.48,50.04,0.96
960,220.60,3.38,49.94,0.97
980,220.50,3.31,50.07,0.98
1000,220.84,3.65,49.98,0.97
1020,220.53,3.66,50.02,0.97
1040,220.88,3.44,50.03,0.97
1060,219.73,3.65,49.98,0.96
1080,220.30,3.37,50.00,0.97
1100,220.13,3.57,50.00,0.98
1120,219.14,3.69,50.06,0.97
1140,220.67,3.39,50.05,0.96
1160,220.38,3.46,49.91,0.96
1180,219.07,3.39,50.06,0.97
1200,219.09,3.69,49.94,0.97
1220,219.83,3.39,49.90,0.96
1240,220.52,3.51,49.97,0.98
1260,219.74,3.60,49.91,0.96
1280,219.35,3.62,49.99,0.96
1300,219.77,3.42,49.94,0.97
1320,219.65,3.48,50.06,0.97
1340,220.38,3.37,50.03,0.96
1360,220.06,3.66,50.03,0.98
1380,220.56,3.47,50.01,0.96
1400,220.21,3.42,50.09,0.96
1420,219.73,3.57,50.05,0.97
1440,220.48,3.48,50.05,0.97
1460,220.02,3.46,50.09,0.97
1480,220.93,3.63,49.99,0.96
1500,219.77,3.68,50.09,0.97
1520,219.35,3.68,49.98,0.97
1540,219.25,3.64,50.00,0.97
1560,220.18,3.62,50.06,0.96
1580,220.43,3.42,49.98,0.96
1600,220.06,3.57,49.96,0.96
1620,220.75,3.35,49.95,0.97
1640,220.03,3.33,49.91,0.97
1660,219.85,3.47,49.95,0.96
1680,219.57,3.67,50.02,0.98
1700,220.93,3.42,50.03,0.97
1720,220.73,3.44,49.99,0.96
1740,220.15,3.39,50.04,0.96
1760,220.28,3.39,50.06,0.97
1780,219.07,3.57,50.01,0.97
1800,219.67,3.40,49.96,0.98
1820,220.20,3.35,50.08,0.97
1840,219.43,3.56,50.10,0.96
1860,219.39,3.66,50.05,0.97
1880,220.09,3.40,50.00,0.97
1900,220.85,3.66,50.07,0.97
1920,220.91,3.32,49.93,0.96
1940,220.35,3.54,49.96,0.97
1960,219.95,3.52,50.09,0.97
1980,220.22,3.45,49.93,0.96
2000,219.85,3.51,49.97,0.97
2020,208.06,4.18,50.87,0.72
2040,222.16,4.47,51.33,0.82
2060,208.29,0.91,48.91,0.83
2080,232.92,0.07,50.25,0.78
2100,232.96,4.00,49.66,0.81
2120,219.38,6.32,50.07,0.78
2140,200.71,4.95,50.22,0.81
2160,202.93,2.38,51.17,0.83
2180,217.88,-0.24,50.60,0.85
2200,233.92,1.85,51.32,0.80
2220,224.47,5.60,49.54,0.83
2240,217.99,5.71,51.07,0.70
2260,227.62,-0.29,49.00,0.78
2280,211.04,4.49,48.85,0.79
2300,203.31,5.31,49.18,0.84
2320,212.02,1.20,48.77,0.71
2340,219.39,5.06,50.85,0.71
2360,228.49,6.20,51.51,0.74
2380,235.81,-0.04,48.89,0.80
2400,234.09,4.97,50.53,0.71
2420,223.96,0.94,50.59,0.84
2440,237.57,3.31,51.15,0.75
2460,219.68,-0.46,48.60,0.82
2480,229.41,0.14,50.82,0.77
2500,221.83,6.29,51.14,0.70
2520,202.78,6.71,48.71,0.80
2540,208.55,3.36,50.63,0.83
2560,201.87,7.42,50.01,0.78
2580,230.94,0.93,48.64,0.70
2600,229.86,3.08,50.30,0.75
2620,209.27,1.80,48.60,0.74
2640,233.87,-0.33,50.75,0.80
2660,202.56,5.46,50.06,0.82
2680,201.88,2.94,50.91,0.78
2700,223.95,0.40,51.22,0.85
2720,202.77,4.61,49.00,0.74
2740,233.66,3.74,49.07,0.84
2760,225.60,2.77,49.36,0.71
2780,237.91,-0.51,50.05,0.77
2800,203.92,2.67,50.45,0.85
2820,210.91,7.59,48.54,0.80
2840,231.49,3.56,50.74,0.75
2860,224.84,0.65,50.82,0.70
2880,216.48,-0.43,51.03,0.82
2900,203.82,2.01,49.44,0.70
2920,231.83,7.55,48.92,0.82
2940,209.45,1.13,51.07,0.76
2960,219.92,2.90,50.73,0.77
2980,235.61,5.86,49.09,0.82
