timestamp,voltage,current_amps,frequency,power_factor
0,220.75,3.41,49.97,0.96
20,219.17,3.52,50.08,0.97
40,219.80,3.39,49.98,0.96
60,219.10,3.53,49.90,0.96
80,220.44,3.68,50.08,0.97
100,219.57,3.37,49.91,0.96
120,220.00,3.33,50.08,0.96
140,219.31,3.42,50.05,0.97
160,219.41,3.55,49.94,0.97
180,220.40,3.64,49.93,0.96
200,220.50,3.54,49.91,0.96
220,220.56,3.41,50.07,0.97
240,220.67,3.57,49.94,0.96
260,219.96,3.62,49.93,0.97
280,219.36,3.64,50.06,0.97
300,219.82,3.46,50.10,0.96
320,220.71,3.69,50.02,0.96
340,219.04,3.54,49.94,0.98
360,219.33,3.55,50.02,0.97
380,219.50,3.61,50.06,0.97
400,219.61,3.60,50.05,0.96
420,219.58,3.44,49.97,0.97
440,219.99,3.43,50.03,0.96
460,219.31,3.30,49.92,0.97
480,220.27,3.49,50.08,0.97
500,220.44,3.66,49.93,0.97
520,220.06,3.36,49.92,0.97
540,219.64,3.33,49.92,0.98
560,219.03,3.43,49.95,0.97
580,219.85,3.38,50.04,0.98
600,220.22,3.47,50.02,0.98
620,219.80,3.53,50.07,0.98
640,220.90,3.38,50.05,0.96
660,219.31,3.38,50.08,0.98
680,219.44,3.35,49.95,0.97
700,220.49,3.40,49.95,0.97
720,220.80,3.39,50.07,0.97
740,219.31,3.60,49.91,0.97
760,220.82,3.47,49.98,0.97
780,219.44,3.70,49.97,0.97
800,219.81,3.67,49.99,0.98
820,220.60,3.47,49.95,0.97
840,219.72,3.58,50.06,0.97
860,219.92,3.38,50.04,0.98
880,219.48,3.38,49.90,0.96
900,219.19,3.46,50.08,0.96
920,220.73,3.55,50.06,0.97
940,219.95,3.52,50.08,0.98
960,220.79,3.51,49.99,0.98
980,219.30,3.65,50.00,0.98
1000,220.40,3.34,50.07,0.96
1020,220.51,3.43,50.00,0.97
1040,219.19,3.33,49.96,0.96
1060,220.84,3.57,49.93,0.98
1080,219.17,3.55,50.01,0.98
1100,220.75,3.36,50.07,0.96
1120,220.96,3.56,50.04,0.96
1140,219.07,3.49,49.98,0.97
1160,220.60,3.41,50.09,0.97
1180,220.54,3.49,50.04,0.97
1200,219.52,3.42,49.93,0.96
1220,219.17,3.41,49.91,0.98
1240,219.08,3.68,49.93,0.97
1260,219.82,3.63,50.08,0.98
1280,219.36,3.56,49.94,0.96
1300,219.84,3.37,49.92,0.97
1320,220.28,3.54,49.93,0.96
1340,219.18,3.58,49.93,0.98
1360,219.68,3.52,49.91,0.98
1380,219.64,3.62,49.95,0.96
1400,220.62,3.62,49.97,0.98
1420,220.61,3.62,50.02,0.97
1440,219.61,3.60,49.92,0.98
1460,219.76,3.57,49.93,0.96
1480,219.14,3.50,49.95,0.98
1500,220.68,3.31,49.92,0.96
1520,220.99,3.55,49.99,0.96
1540,220.23,3.31,50.08,0.97
1560,219.17,3.60,50.09,0.97
1580,220.90,3.32,50.10,0.97
1600,219.45,3.60,50.02,0.97
1620,220.00,3.48,49.99,0.98
1640,220.13,3.47,50.05,0.97
1660,220.56,3.36,50.10,0.97
1680,219.76,3.59,49.93,0.97
1700,220.76,3.46,50.10,0.98
1720,219.50,3.42,49.95,0.98
1740,220.13,3.57,50.04,0.96
1760,220.74,3.55,50.00,0.96
1780,219.25,3.31,49.95,0.98
1800,219.83,3.45,50.02,0.98
1820,219.54,3.43,49.91,0.97
1840,219.02,3.34,50.02,0.97
1860,220.25,3.70,49.94,0.98
1880,220.90,3.63,49.94,0.98
1900,219.81,3.41,49.97,0.97
1920,219.37,3.61,50.01,0.96
1940,220.63,3.67,50.05,0.98
1960,220.24,3.65,49.98,0.97
1980,220.15,3.45,49.96,0.98
2000,220.64,3.41,50.09,0.98
2020,220.75,3.36,50.04,0.97
2040,219.20,3.38,49.95,0.98
2060,219.28,3.61,49.93,0.98
2080,219.57,3.33,49.99,0.97
2100,219.23,3.46,50.02,0.97
2120,219.29,3.63,50.09,0.96
2140,220.22,3.51,50.03,0.98
2160,220.37,3.41,50.06,0.96
2180,219.44,3.35,50.08,0.96
2200,219.10,3.53,49.95,0.98
2220,219.72,3.43,50.01,0.97
2240,219.65,3.48,50.09,0.97
2260,219.82,3.56,50.04,0.97
2280,220.57,3.68,50.03,0.98
2300,220.36,3.69,49.98,0.98
2320,220.47,3.52,49.94,0.98
2340,219.61,3.68,49.97,0.96
2360,220.17,3.70,49.92,0.97
2380,219.11,3.42,50.07,0.97
2400,219.62,3.54,50.02,0.97
2420,220.63,3.64,50.04,0.98
2440,220.31,3.50,50.08,0.97
2460,219.40,3.62,49.92,0.96
2480,220.28,3.34,50.02,0.97
2500,219.94,3.54,49.93,0.97
2520,219.40,3.47,50.04,0.97
2540,220.41,3.61,50.07,0.97
2560,219.55,3.39,50.06,0.97
2580,220.39,3.43,50.05,0.97
2600,219.50,3.60,50.07,0.97
2620,219.87,3.48,50.00,0.97
2640,220.96,3.66,50.05,0.97
2660,220.73,3.61,49.95,0.96
2680,220.38,3.60,49.97,0.97
2700,219.30,3.54,50.10,0.97
2720,219.72,3.53,50.10,0.98
2740,219.96,3.34,50.02,0.97
2760,219.85,3.30,50.06,0.97
2780,220.38,3.61,50.08,0.98
2800,220.46,3.36,50.00,0.98
2820,220.87,3.46,50.05,0.98
2840,220.43,3.60,49.92,0.97
2860,219.55,3.55,50.04,0.97
2880,220.28,3.54,49.99,0.97
2900,220.67,3.47,50.09,0.98
2920,219.99,3.31,50.01,0.97
2940,220.94,3.37,50.00,0.96
2960,220.71,3.59,50.07,0.97
2980,219.21,3.41,50.06,0.97
3000,220.58,3.64,50.03,0.97
3020,123.83,0.89,50.01,0.97
3040,137.18,0.75,50.06,0.97
3060,136.96,0.89,50.01,0.96
3080,134.32,1.04,49.99,0.96
3100,132.16,0.80,49.94,0.98
3120,139.27,1.16,50.07,0.97
3140,136.74,1.03,49.92,0.97
3160,137.87,1.19,49.98,0.98
3180,135.31,0.87,49.91,0.97
3200,134.18,1.13,50.08,0.97
3220,131.86,1.17,50.04,0.97
3240,138.30,0.76,49.91,0.97
3260,136.47,1.14,50.09,0.97
3280,130.72,1.09,49.91,0.97
3300,123.15,0.97,49.97,0.96
3320,121.76,0.87,50.02,0.97
3340,138.55,0.95,49.91,0.97
3360,136.62,1.07,50.04,0.96
3380,137.88,0.79,50.01,0.97
3400,124.21,0.80,49.93,0.96
3420,139.18,0.87,49.91,0.96
3440,124.27,1.17,50.03,0.96
3460,124.28,0.85,50.03,0.97
3480,129.69,0.82,50.09,0.98
3500,137.64,1.13,49.94,0.98
3520,130.39,0.70,50.03,0.97
3540,135.77,1.18,49.97,0.97
3560,133.73,1.15,50.06,0.96
3580,129.45,0.84,50.08,0.97
3600,126.72,0.72,50.05,0.98
3620,125.45,0.77,49.91,0.97
3640,131.42,0.91,49.91,0.96
3660,129.12,1.16,50.01,0.96
3680,129.15,1.05,49.98,0.97
3700,132.42,0.86,49.95,0.97
3720,131.78,0.76,49.93,0.97
3740,129.92,1.19,50.09,0.98
3760,138.37,1.07,49.90,0.97
3780,130.35,1.06,50.01,0.96
3800,131.63,0.77,50.07,0.97
3820,134.63,1.04,50.04,0.96
3840,130.47,0.79,50.00,0.97
3860,134.16,0.86,50.03,0.97
3880,137.18,0.85,49.96,0.97
3900,127.54,0.80,49.90,0.96
3920,130.69,0.87,50.03,0.97
3940,121.34,0.99,49.92,0.96
3960,120.28,0.74,50.07,0.97
3980,133.58,0.79,49.95,0.97
4000,130.77,1.20,50.10,0.97
4020,128.06,0.71,50.07,0.98
4040,120.71,0.80,49.96,0.98
4060,129.57,0.75,49.99,0.97
4080,137.56,1.12,50.09,0.98
4100,122.99,0.90,50.08,0.97
4120,121.58,0.75,50.05,0.96
4140,138.00,0.94,49.96,0.96
4160,138.68,1.05,49.96,0.98
4180,123.87,0.95,49.98,0.96
4200,129.74,1.11,49.96,0.96
4220,134.62,1.10,50.08,0.97
4240,131.28,0.80,49.93,0.97
4260,126.20,0.91,49.92,0.97
4280,133.07,0.81,50.09,0.98
4300,127.58,1.09,50.06,0.97
4320,121.81,0.93,49.90,0.97
4340,126.27,0.78,50.01,0.98
4360,120.18,0.76,49.90,0.96
4380,134.59,0.79,49.94,0.97
4400,126.01,0.94,49.98,0.97
4420,137.91,0.79,50.04,0.97
4440,129.28,0.77,50.04,0.97
4460,130.06,0.89,50.07,0.97
4480,126.84,0.71,49.94,0.97
4500,122.22,0.71,49.93,0.97
4520,124.94,1.02,49.98,0.96
4540,123.17,1.09,50.02,0.98
4560,123.93,0.87,50.03,0.98
4580,130.86,1.01,49.92,0.96
4600,135.84,0.93,50.01,0.98
4620,124.41,0.91,50.03,0.97
4640,135.44,0.91,49.94,0.97
4660,121.23,0.85,49.96,0.96
4680,135.60,0.75,50.01,0.96
4700,121.89,1.08,50.00,0.97
4720,139.03,0.74,49.95,0.97
4740,134.28,0.79,49.91,0.97
4760,122.17,1.14,49.98,0.96
4780,128.43,1.11,49.97,0.96
4800,126.64,1.13,49.94,0.96
