timestamp,voltage,current_amps,frequency,power_factor
0,220.06,3.69,49.95,0.97
20,219.96,3.42,50.01,0.97
40,219.62,3.46,50.08,0.96
60,219.79,3.66,50.06,0.97
80,219.27,3.33,49.92,0.98
100,220.87,3.59,50.00,0.96
120,219.63,3.70,50.02,0.98
140,219.63,3.46,49.97,0.97
160,220.07,3.34,49.97,0.97
180,220.88,3.40,50.05,0.98
200,220.50,3.35,50.01,0.96
220,220.83,3.56,50.04,0.98
240,219.50,3.58,50.10,0.97
260,220.97,3.66,49.98,0.96
280,220.51,3.65,49.93,0.97
300,220.88,3.50,50.00,0.97
320,220.79,3.37,49.95,0.98
340,219.64,3.51,50.02,0.97
360,220.79,3.34,50.09,0.98
380,219.85,3.50,50.08,0.97
400,219.95,3.35,49.98,0.97
420,220.64,3.64,50.09,0.98
440,219.93,3.36,49.90,0.97
460,219.92,3.56,50.05,0.98
480,220.35,3.31,50.10,0.97
500,219.81,3.33,50.09,0.97
520,219.01,3.33,49.97,0.97
540,220.13,3.46,50.04,0.97
560,220.85,3.59,49.95,0.98
580,219.27,3.38,50.02,0.96
600,220.40,3.56,50.08,0.97
620,220.83,3.38,49.95,0.98
640,220.83,3.60,49.93,0.98
660,220.08,3.64,49.97,0.98
680,219.45,3.58,50.00,0.98
700,219.44,3.41,50.06,0.97
720,220.81,3.66,50.01,0.97
740,220.02,3.68,50.03,0.97
760,220.90,3.45,49.91,0.97
780,220.29,3.40,49.97,0.98
800,219.06,3.51,50.02,0.97
820,219.14,3.69,50.02,0.97
840,220.53,3.66,50.02,0.97
860,219.75,3.54,49.99,0.97
880,220.82,3.43,50.05,0.96
900,219.61,3.52,50.03,0.96
920,220.12,3.58,50.00,0.98
940,219.46,3.39,50.09,0.97
960,219.06,3.47,50.09,0.97
980,220.66,3.68,50.07,0.97
1000,219.81,3.52,49.95,0.97
1020,219.57,3.69,50.00,0.98
1040,220.06,3.38,50.01,0.97
1060,219.77,3.56,49.94,0.98
1080,219.22,3.39,49.99,0.98
1100,219.21,3.37,49.91,0.96
1120,219.36,3.36,50.07,0.96
1140,220.75,3.38,50.02,0.98
1160,219.64,3.53,50.08,0.98
1180,220.57,3.63,49.95,0.96
1200,220.93,3.46,49.95,0.98
1220,219.78,3.51,49.93,0.97
1240,219.04,3.33,50.06,0.97
1260,219.45,3.57,49.96,0.96
1280,219.68,3.70,50.03,0.97
1300,220.99,3.69,49.93,0.96
1320,220.02,3.48,50.01,0.97
