timestamp,voltage,current_amps,frequency,power_factor
0,220.41,3.55,50.00,0.98
20,220.85,3.30,50.00,0.98
40,219.55,3.35,50.08,0.96
60,220.34,3.70,50.07,0.97
80,219.29,3.44,50.08,0.97
100,220.76,3.41,50.09,0.96
120,220.64,3.67,50.01,0.97
140,220.25,3.35,50.02,0.97
160,220.65,3.38,49.91,0.97
180,219.01,3.40,50.00,0.98
200,220.95,3.57,50.05,0.97
220,220.60,3.55,50.09,0.98
240,220.70,3.55,50.05,0.97
260,219.26,3.53,49.92,0.97
280,219.21,3.54,49.99,0.96
300,220.29,3.30,50.03,0.97
320,220.28,3.39,49.97,0.97
340,219.58,3.66,50.04,0.97
360,220.96,3.65,49.99,0.96
380,219.50,3.35,50.10,0.97
400,220.76,3.37,49.90,0.97
420,219.78,3.39,49.98,0.97
440,220.61,3.58,50.04,0.97
460,220.97,3.36,50.04,0.97
480,219.36,3.66,50.06,0.97
500,220.53,3.37,50.00,0.97
520,220.07,3.64,49.94,0.98
540,220.88,3.63,49.99,0.98
560,219.85,3.62,50.06,0.97
580,219.42,3.69,49.99,0.96
600,220.01,3.33,50.00,0.97
620,220.74,3.31,50.07,0.98
640,219.33,3.37,49.91,0.98
660,220.40,3.31,49.91,0.96
680,220.00,3.40,50.06,0.98
700,219.64,3.50,49.99,0.97
720,220.56,3.52,49.98,0.98
740,220.77,3.43,50.06,0.98
760,219.55,3.53,50.01,0.97
780,220.72,3.36,50.04,0.97
800,219.38,3.36,49.92,0.96
820,220.23,3.44,49.99,0.96
840,220.92,3.32,50.03,0.98
860,219.00,3.65,50.06,0.97
880,219.89,3.51,49.91,0.96
900,220.48,3.50,49.92,0.97
920,219.00,3.54,49.95,0.97
940,220.33,3.60,49.98,0.97
960,219.01,3.38,49.94,0.97
980,220.00,3.52,50.02,0.97
1000,219.30,3.39,50.05,0.96
1020,219.83,3.39,50.06,0.96
1040,219.28,3.57,49.99,0.98
1060,219.03,3.53,50.01,0.97
1080,219.68,3.64,49.97,0.96
1100,219.79,3.65,50.05,0.97
1120,219.37,3.59,49.95,0.98
1140,219.04,3.44,50.07,0.97
1160,219.35,3.44,49.91,0.98
1180,219.87,3.62,49.99,0.97
1200,220.29,3.48,49.99,0.96
1220,220.24,3.53,49.97,0.97
1240,219.68,3.38,49.95,0.97
1260,219.45,3.48,49.96,0.97
1280,220.84,3.35,50.09,0.97
1300,220.43,3.43,49.97,0.98
1320,219.21,3.67,50.05,0.97
1340,219.46,3.62,49.98,0.97
1360,219.85,3.51,49.97,0.97
1380,219.44,3.60,50.09,0.96
1400,219.96,3.45,49.90,0.97
1420,220.18,3.69,49.99,0.96
1440,220.43,3.35,50.07,0.96
1460,219.74,3.41,49.98,0.97
1480,220.60,3.58,50.09,0.96
1500,220.98,3.53,49.92,0.96
1520,220.33,3.70,49.97,0.98
1540,219.23,3.47,50.00,0.96
1560,219.76,3.31,49.92,0.98
1580,220.60,3.44,49.95,0.98
1600,219.71,3.49,50.04,0.96
1620,219.92,3.32,49.91,0.97
1640,219.46,3.50,49.90,0.97
1660,219.60,3.55,49.91,0.97
1680,220.79,3.66,49.96,0.98
1700,220.03,3.49,50.06,0.98
1720,219.57,3.34,50.07,0.98
1740,219.77,3.38,49.91,0.96
1760,220.96,3.31,50.06,0.97
1780,220.43,3.31,50.08,0.98
1800,220.33,3.30,49.99,0.97
1820,219.64,3.38,50.00,0.97
1840,219.32,3.45,50.04,0.98
1860,220.79,3.68,49.91,0.96
1880,220.04,3.59,50.02,0.96
1900,220.99,3.49,50.08,0.97
1920,220.39,3.47,50.03,0.97
1940,219.59,3.43,49.98,0.98
1960,219.83,3.67,50.00,0.97
1980,219.65,3.46,50.04,0.97
2000,220.05,3.43,49.95,0.96
2020,219.98,3.37,49.92,0.97
2040,219.68,3.62,50.03,0.97
2060,219.80,3.55,49.97,0.98
2080,220.65,3.48,50.07,0.97
2100,219.37,3.52,49.92,0.97
2120,220.89,3.39,50.03,0.97
2140,219.70,3.61,49.94,0.96
2160,220.04,3.64,49.99,0.96
2180,219.17,3.37,49.99,0.96
2200,219.36,3.69,49.91,0.96
2220,219.00,3.41,50.07,0.96
2240,219.80,3.58,49.91,0.96
2260,220.22,3.64,49.94,0.98
2280,220.21,3.66,49.99,0.97
2300,220.56,3.40,49.91,0.97
2320,219.37,3.32,49.92,0.97
2340,219.85,3.61,49.95,0.96
2360,220.61,3.47,50.03,0.97
2380,220.71,3.63,49.91,0.98
2400,220.55,3.35,49.94,0.97
2420,220.10,3.47,50.00,0.98
2440,219.05,3.68,49.95,0.97
2460,220.52,3.43,50.04,0.96
2480,220.30,3.33,50.04,0.98
2500,220.52,3.63,49.97,0.96
2520,219.68,3.43,50.02,0.96
2540,219.89,3.67,50.04,0.98
2560,219.94,3.69,50.03,0.98
2580,219.01,3.50,49.96,0.97
2600,219.81,3.36,50.04,0.98
2620,219.10,3.54,50.07,0.97
2640,220.79,3.51,50.05,0.97
2660,220.78,3.65,50.08,0.97
2680,220.61,3.66,50.07,0.97
2700,219.55,3.39,49.95,0.97
2720,219.23,3.57,50.07,0.98
2740,219.12,3.46,49.93,0.97
2760,219.44,3.53,49.91,0.97
2780,220.55,3.40,50.05,0.98
2800,220.10,3.66,50.07,0.96
2820,220.55,3.30,49.93,0.97
2840,220.81,3.69,49.91,0.97
2860,220.85,3.37,50.08,0.96
2880,220.09,3.34,49.98,0.96
2900,219.72,3.59,50.01,0.98
2920,219.49,3.33,50.09,0.97
2940,219.43,3.62,50.01,0.97
2960,220.57,3.64,49.96,0.96
2980,219.81,3.49,49.93,0.98
3000,220.11,3.40,50.10,0.96
3020,331.30,18.64,49.93,0.97
3040,319.85,19.93,49.96,0.98
3060,332.13,21.86,50.02,0.97
3080,326.86,21.92,50.02,0.97
3100,325.97,18.90,49.92,0.96
3120,332.17,21.82,50.10,0.98
3140,325.74,21.41,50.07,0.97
3160,321.14,21.41,50.10,0.97
3180,318.66,19.29,50.01,0.97
3200,316.12,19.94,50.07,0.97
3220,314.78,21.19,50.01,0.97
3240,312.57,22.23,50.05,0.98
3260,325.40,19.52,49.92,0.98
3280,310.98,19.31,50.07,0.97
3300,334.17,18.72,49.94,0.98
3320,325.20,22.24,50.04,0.97
3340,317.00,20.02,49.99,0.96
3360,315.86,21.53,50.07,0.97
3380,330.83,20.18,50.07,0.98
3400,316.21,20.92,50.01,0.97
3420,324.31,20.07,49.92,0.97
3440,312.40,21.56,49.91,0.97
3460,310.16,20.92,49.91,0.97
3480,321.61,19.41,50.07,0.96
3500,317.84,19.27,50.04,0.97
3520,319.39,19.07,50.08,0.96
3540,323.27,21.66,50.04,0.98
3560,317.92,19.37,49.91,0.97
3580,327.88,20.11,50.07,0.97
3600,325.80,22.24,50.03,0.98
3620,329.32,21.04,49.99,0.97
3640,331.75,19.23,49.96,0.97
3660,323.84,20.93,50.07,0.96
3680,328.67,18.71,49.97,0.98
3700,316.94,18.62,49.90,0.97
3720,320.71,21.88,49.99,0.97
3740,332.01,22.08,49.97,0.96
3760,312.30,19.12,50.08,0.97
3780,314.73,20.24,49.96,0.97
3800,314.63,21.02,50.06,0.96
3820,311.56,21.29,49.94,0.96
3840,330.82,19.51,50.06,0.97
3860,322.51,18.53,49.90,0.98
3880,324.06,21.82,50.06,0.97
3900,325.64,20.77,50.07,0.96
3920,321.81,19.41,50.05,0.98
3940,318.24,19.33,49.92,0.98
3960,315.82,21.32,49.93,0.96
3980,312.68,20.47,50.01,0.97
4000,319.74,21.42,50.06,0.98
4020,330.60,20.60,49.98,0.98
4040,311.75,18.68,49.92,0.97
4060,333.32,19.03,50.03,0.96
4080,323.41,19.59,49.90,0.96
4100,323.83,21.14,50.02,0.98
4120,315.55,20.73,49.92,0.96
4140,310.78,19.22,50.03,0.96
4160,316.05,18.87,50.04,0.96
4180,310.56,21.78,49.93,0.98
4200,317.08,20.53,49.92,0.97
4220,330.58,20.75,50.10,0.96
4240,315.38,19.23,50.02,0.98
4260,332.23,19.82,49.94,0.97
4280,327.19,21.57,50.05,0.97
4300,321.53,20.11,50.04,0.97
4320,330.09,19.89,49.90,0.97
4340,331.75,19.33,49.98,0.96
4360,310.91,21.99,50.01,0.97
4380,313.70,18.99,49.95,0.97
4400,310.55,20.70,49.94,0.97
4420,316.25,22.41,50.07,0.98
4440,328.39,21.83,50.04,0.97
4460,331.57,20.02,50.09,0.96
4480,331.30,21.47,49.96,0.97
4500,318.25,21.05,49.94,0.98
4520,327.97,19.07,49.93,0.98
4540,312.40,19.10,49.97,0.97
4560,319.28,22.35,49.94,0.98
4580,316.25,20.37,50.02,0.96
4600,330.24,20.13,50.09,0.97
4620,321.60,22.10,50.05,0.97
4640,334.21,19.08,49.99,0.98
4660,330.50,22.43,50.02,0.96
4680,318.03,19.60,50.05,0.97
4700,324.43,19.23,49.98,0.96
4720,319.26,18.68,50.03,0.97
4740,310.98,19.18,50.08,0.96
4760,316.08,19.97,49.93,0.97
4780,327.39,19.75,49.98,0.97
4800,332.52,18.60,50.01,0.96
4820,329.90,20.84,49.95,0.97
4840,313.85,22.27,50.09,0.97
4860,317.09,22.37,50.05,0.98
4880,327.36,22.29,49.96,0.96
4900,326.51,19.72,50.09,0.97
4920,320.21,21.48,50.00,0.97
4940,325.40,21.22,50.02,0.98
4960,321.54,19.35,50.01,0.96
4980,313.67,21.87,50.03,0.96
5000,334.22,22.37,50.00,0.96
5020,317.22,21.49,50.04,0.97
5040,321.87,21.51,50.00,0.98
5060,319.40,19.07,49.98,0.98
5080,333.07,19.27,49.95,0.98
5100,333.43,20.82,49.94,0.98
5120,328.91,18.86,50.03,0.96
5140,315.42,20.61,49.93,0.97
5160,317.58,20.63,50.07,0.97
5180,321.77,18.76,49.99,0.97
5200,330.05,21.93,49.97,0.96
5220,319.96,19.32,50.10,0.98
5240,320.56,21.95,49.98,0.97
5260,317.05,19.25,49.93,0.98
5280,318.83,19.87,50.02,0.97
5300,325.52,21.96,49.92,0.98
5320,319.43,20.86,49.95,0.98
5340,316.21,19.18,50.00,0.96
5360,328.89,21.05,49.97,0.97
5380,320.00,19.04,50.02,0.97
5400,332.69,22.10,50.06,0.98
5420,319.77,19.03,50.09,0.96
5440,328.60,21.59,50.06,0.98
5460,328.79,21.92,49.98,0.97
5480,320.44,21.45,50.02,0.97
5500,332.42,21.18,50.08,0.97
5520,324.97,19.72,50.06,0.97
5540,313.54,20.89,50.01,0.97
5560,315.20,21.30,49.95,0.97
5580,316.59,18.71,49.94,0.97
5600,330.21,20.28,49.99,0.98
5620,316.59,19.93,49.90,0.96
5640,327.69,22.42,50.03,0.97
5660,321.58,20.26,50.05,0.97
5680,331.93,20.26,50.01,0.98
5700,331.05,20.25,49.91,0.98
5720,315.07,19.38,50.05,0.97
5740,319.91,19.97,50.02,0.97
5760,334.73,20.07,49.94,0.97
5780,334.26,21.87,50.00,0.97
5800,324.74,18.60,49.90,0.96
5820,330.17,21.88,50.00,0.97
5840,315.86,20.90,49.90,0.97
5860,327.24,18.87,49.94,0.97
5880,316.28,19.05,50.03,0.96
5900,328.20,21.29,49.96,0.97
5920,333.28,21.68,49.91,0.97
5940,315.92,21.20,49.97,0.97
5960,321.57,20.70,49.94,0.97
5980,328.44,19.05,49.93,0.96
6000,325.11,22.38,50.05,0.97
6020,327.51,22.14,49.97,0.96
6040,316.79,21.93,50.08,0.98
6060,311.18,21.30,50.02,0.97
6080,313.50,20.89,49.90,0.97
6100,311.39,19.78,50.04,0.97
6120,328.01,18.74,49.91,0.96
6140,325.26,18.80,50.04,0.97
6160,329.39,19.70,49.95,0.96
6180,334.16,21.56,50.09,0.98
6200,331.36,20.77,50.04,0.96
6220,331.25,22.33,50.05,0.97
6240,324.41,21.02,49.93,0.96
6260,331.17,19.71,50.03,0.98
6280,334.80,18.95,50.00,0.97
6300,320.80,19.96,50.03,0.96
6320,315.05,18.98,50.09,0.97
6340,313.62,19.17,50.00,0.96
6360,324.85,22.23,50.02,0.98
6380,330.59,20.85,50.04,0.98
6400,325.94,21.04,50.08,0.98
6420,329.01,21.56,49.95,0.96
6440,310.32,21.05,50.03,0.97
6460,328.50,19.79,50.03,0.98
6480,315.14,19.24,49.92,0.96
6500,328.12,21.19,50.02,0.96
6520,319.27,18.61,49.95,0.96
6540,326.67,19.58,50.06,0.98
6560,330.09,20.93,50.06,0.97
6580,312.31,22.29,50.02,0.97
6600,318.49,19.27,50.06,0.97
6620,319.14,22.05,49.96,0.98
6640,327.81,19.17,49.95,0.98
6660,316.50,19.57,50.06,0.97
6680,331.41,18.83,50.07,0.98
6700,325.37,21.66,49.91,0.98
6720,315.03,21.53,50.05,0.97
6740,310.35,21.97,49.93,0.96
6760,324.54,21.08,50.01,0.98
6780,333.56,19.73,49.91,0.98
6800,313.13,21.35,49.97,0.97
6820,316.20,20.15,49.95,0.97
6840,333.32,20.93,49.95,0.97
6860,323.46,18.95,50.04,0.96
6880,331.37,18.79,49.92,0.96
6900,325.81,22.33,50.00,0.98
6920,319.82,19.33,49.96,0.97
6940,322.26,21.97,50.09,0.97
6960,311.53,20.52,50.02,0.97
6980,323.17,19.95,50.05,0.98
7000,220.68,3.35,50.05,0.97
7020,220.14,3.38,50.10,0.97
7040,220.04,3.36,50.05,0.96
7060,220.02,3.33,49.93,0.97
7080,220.58,3.34,50.10,0.97
7100,220.26,3.40,49.95,0.97
7120,220.19,3.45,49.92,0.97
7140,219.51,3.43,50.07,0.98
7160,220.56,3.55,50.10,0.98
7180,219.16,3.67,50.02,0.97
7200,220.86,3.38,50.04,0.97
7220,220.75,3.64,50.09,0.96
7240,219.61,3.59,49.95,0.97
7260,219.09,3.30,49.92,0.98
7280,219.03,3.64,50.08,0.97
7300,219.52,3.40,50.02,0.97
7320,219.29,3.49,50.06,0.97
7340,220.81,3.55,49.93,0.97
7360,220.28,3.45,50.09,0.97
7380,220.79,3.42,50.09,0.96
7400,219.55,3.50,49.94,0.98
7420,220.15,3.30,49.97,0.98
7440,220.59,3.44,49.94,0.97
7460,220.89,3.34,49.98,0.97
7480,219.11,3.31,50.02,0.98
7500,220.24,3.53,50.09,0.97
7520,220.15,3.59,50.07,0.96
7540,220.43,3.68,49.95,0.97
7560,220.09,3.66,50.09,0.96
7580,220.56,3.53,50.08,0.96
7600,219.37,3.37,50.06,0.97
7620,220.10,3.57,49.91,0.97
7640,219.75,3.34,49.98,0.97
7660,220.46,3.44,50.01,0.97
7680,219.63,3.34,50.04,0.96
7700,219.45,3.37,49.99,0.98
7720,219.29,3.32,50.01,0.96
7740,220.09,3.31,50.06,0.97
7760,219.74,3.35,49.99,0.96
7780,219.90,3.69,49.91,0.98
7800,219.19,3.53,49.98,0.97
7820,220.72,3.57,49.97,0.97
7840,220.97,3.53,50.04,0.98
7860,219.53,3.58,50.03,0.98
7880,220.93,3.35,49.94,0.97
7900,219.03,3.47,49.91,0.96
7920,219.18,3.50,49.94,0.98
7940,219.63,3.46,49.95,0.98
